City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
61,Sao Joao Da Barra,-21.6403,-41.0511,84.29,67,0,14.07,BR,2021-07-27 17:49:55,Clear
62,Pokaran,26.9167,71.9167,86.38,68,100,20.24,IN,2021-07-27 17:49:55,Clouds
63,Malumfashi,11.7853,7.6218,70.99,86,99,12.86,NG,2021-07-27 17:49:55,Clouds
64,Airai,-8.9266,125.4092,56.91,74,36,2.53,TL,2021-07-27 17:49:56,Clouds
65,Altamira,-3.2033,-52.2064,95.09,46,75,6.91,BR,2021-07-27 17:49:56,Clouds
66,Eenhana,-17.4667,16.3333,67.75,25,0,6.64,NA,2021-07-27 17:49:56,Clear
67,Kutum,14.2,24.6667,76.26,65,82,8.86,SD,2021-07-27 17:49:57,Clouds
68,Saint George,37.1041,-113.5841,90.63,55,1,1.99,US,2021-07-27 17:47:06,Clear
69,Nanzhang,31.7765,111.8386,75.65,87,6,6.51,CN,2021-07-27 17:49:57,Clear
70,Roros,62.5747,11.3842,69.64,52,75,12.66,NO,2021-07-27 17:49:57,Clouds
71,Andenes,69.3143,16.1194,61.07,93,90,10.36,NO,2021-07-27 17:49:57,Fog
72,Aklavik,68.2191,-135.0107,56.23,88,90,4.61,CA,2021-07-27 17:49:18,Clouds
73,Cape Town,-33.9258,18.4232,57.09,90,75,5.99,ZA,2021-07-27 17:45:51,Rain
74,Cabedelo,-6.9811,-34.8339,83.07,76,26,14.61,BR,2021-07-27 17:49:58,Clouds
75,Lakatoro,-16.0999,167.4164,76.14,82,99,14.52,VU,2021-07-27 17:49:58,Clouds
76,Saint-Pierre,-21.3393,55.4781,71.24,78,75,13.8,RE,2021-07-27 17:49:58,Clouds
77,Port Elizabeth,-33.918,25.5701,79.09,19,0,11.5,ZA,2021-07-27 17:46:26,Clear
78,Marathon,44.9,-89.7668,80.13,71,1,10.36,US,2021-07-27 17:49:59,Clear
79,Barrow,71.2906,-156.7887,42.82,94,90,9.22,US,2021-07-27 17:49:59,Fog
80,Kapaa,22.0752,-159.319,79.12,81,40,1.01,US,2021-07-27 17:49:59,Clouds
81,Mayumba,-3.432,10.6554,73.06,88,84,6.49,GA,2021-07-27 17:49:59,Clouds
82,New Norfolk,-42.7826,147.0587,57.92,62,98,1.01,AU,2021-07-27 17:50:00,Clouds
83,Avera,33.194,-82.5271,91.94,46,45,4.47,US,2021-07-27 17:50:00,Clouds
84,Upington,-28.4478,21.2561,64.78,27,0,9.22,ZA,2021-07-27 17:50:00,Clear
85,Sharjah,25.3573,55.4033,98.58,50,0,2.3,AE,2021-07-27 17:48:13,Clear
86,Aykhal,66.0,111.5,70.34,54,18,4.56,RU,2021-07-27 17:45:36,Clouds
87,Pingliang,35.5392,106.6861,69.26,54,95,4.88,CN,2021-07-27 17:50:01,Clouds
88,Moose Factory,51.2585,-80.6094,68.0,56,75,6.91,CA,2021-07-27 17:50:01,Clouds
89,Gambela,8.25,34.5833,69.84,95,89,2.8,ET,2021-07-27 17:50:03,Clouds
90,Port Alfred,-33.5906,26.891,72.97,27,0,21.54,ZA,2021-07-27 17:50:03,Clear
91,Wasserbillig,49.71,6.5003,66.09,94,100,5.57,LU,2021-07-27 17:50:03,Rain
92,Bilma,18.6853,12.9164,92.53,32,48,10.96,NE,2021-07-27 17:50:03,Clouds
93,Mount Isa,-20.7333,139.5,49.77,57,3,0.0,AU,2021-07-27 17:50:04,Clear
94,Avarua,-21.2078,-159.775,69.85,83,40,3.44,CK,2021-07-27 17:50:04,Clouds
95,Saint-Philippe,-21.3585,55.7679,71.15,77,57,11.25,RE,2021-07-27 17:50:04,Clouds
96,Presidencia Roque Saenz Pena,-26.7852,-60.4388,63.86,11,1,12.8,AR,2021-07-27 17:50:05,Clear
97,Brae,60.3964,-1.353,55.31,83,80,5.21,GB,2021-07-27 17:50:05,Clouds
98,Vao,-22.6667,167.4833,67.71,59,79,15.9,NC,2021-07-27 17:46:09,Clouds
99,Ostrovnoy,68.0531,39.5131,45.48,88,44,2.15,RU,2021-07-27 17:45:24,Clouds
100,Kavaratti,10.5669,72.642,81.77,79,100,19.04,IN,2021-07-27 17:50:06,Clouds
101,Tallahassee,30.4383,-84.2807,94.93,62,40,5.75,US,2021-07-27 17:45:58,Clouds
102,Arauca,7.0847,-70.7591,83.77,73,40,4.36,CO,2021-07-27 17:50:07,Clouds
103,Nikolskoye,59.7035,30.7861,80.49,54,42,4.45,RU,2021-07-27 17:50:07,Clouds
104,Mayor Pablo Lagerenza,-19.9309,-60.7718,62.91,36,98,11.88,PY,2021-07-27 17:50:07,Clouds
105,Margate,51.3813,1.3862,69.91,67,77,1.99,GB,2021-07-27 17:50:07,Clouds
106,Gizo,-8.103,156.8419,81.52,76,93,6.89,SB,2021-07-27 17:50:08,Clouds
107,Fortuna,40.5982,-124.1573,54.52,97,75,0.0,US,2021-07-27 17:50:08,Clouds
108,Dongsheng,39.8161,109.9776,65.01,66,68,16.73,CN,2021-07-27 17:50:08,Clouds
109,Bengkulu,-3.8004,102.2655,74.41,81,2,4.9,ID,2021-07-27 17:50:08,Clear
110,Trairi,-3.2778,-39.2689,84.74,57,62,14.65,BR,2021-07-27 17:47:44,Clouds
111,Pirapora,-17.345,-44.9419,86.47,21,0,4.45,BR,2021-07-27 17:50:09,Clear
112,Khatanga,71.9667,102.5,74.32,58,75,13.2,RU,2021-07-27 17:50:09,Clouds
113,Cherskiy,68.75,161.3,35.87,85,91,17.02,RU,2021-07-27 17:45:17,Clouds
114,Jamestown,42.097,-79.2353,85.3,45,20,7.0,US,2021-07-27 17:48:44,Clouds
115,Oussouye,12.485,-16.5469,89.78,65,80,10.02,SN,2021-07-27 17:50:10,Clouds
116,Talnakh,69.4865,88.3972,71.15,69,93,5.91,RU,2021-07-27 17:50:10,Clouds
117,Santa Cruz,-17.8,-63.1667,64.45,34,75,29.93,BO,2021-07-27 17:47:50,Clouds
118,Hay River,60.8156,-115.7999,58.96,62,75,9.22,CA,2021-07-27 17:50:10,Clouds
119,Owando,-0.4819,15.8999,83.21,30,65,1.79,CG,2021-07-27 17:50:11,Clouds
120,Aliwal North,-30.6937,26.7114,45.91,35,1,7.36,ZA,2021-07-27 17:50:11,Clear
121,Chokurdakh,70.6333,147.9167,34.95,86,100,11.1,RU,2021-07-27 17:50:11,Clouds
122,Kulhudhuffushi,6.6221,73.07,82.58,75,100,14.5,MV,2021-07-27 17:50:11,Clouds
123,Ahuimanu,21.4447,-157.8378,78.85,69,40,9.22,US,2021-07-27 17:50:12,Clouds
124,Kupang,-10.1667,123.5833,73.96,82,8,5.59,ID,2021-07-27 17:50:12,Clear
